Date,Open,High,Low,Close_,AdjClose__,Volume
"Jan 26, 2021","6,638.90","6,702.40","6,636.30","6,654.00","6,654.00","683,485,900"
"Jan 25, 2021","6,695.10","6,714.60","6,610.30","6,638.90","6,638.90","761,260,500"
"Jan 22, 2021","6,715.40","6,715.70","6,651.70","6,695.10","6,695.10","693,954,900"
"Jan 21, 2021","6,740.40","6,776.90","6,715.40","6,715.40","6,715.40","621,554,400"
"Jan 20, 2021","6,713.00","6,751.80","6,697.50","6,740.40","6,740.40","687,499,600"
"Jan 19, 2021","6,720.70","6,770.70","6,697.70","6,713.00","6,713.00","618,144,700"
"Jan 18, 2021","6,735.70","6,741.50","6,709.30","6,720.70","6,720.70","359,826,900"
"Jan 15, 2021","6,802.00","6,802.10","6,676.60","6,735.70","6,735.70","740,665,600"
"Jan 14, 2021","6,745.50","6,802.00","6,736.80","6,802.00","6,802.00","685,978,100"
"Jan 13, 2021","6,754.10","6,772.60","6,736.00","6,745.50","6,745.50","619,448,200"
"Jan 12, 2021","6,798.50","6,816.70","6,738.20","6,754.10","6,754.10","648,158,800"
"Jan 11, 2021","6,873.30","6,873.30","6,768.70","6,798.50","6,798.50","707,799,500"
"Jan 08, 2021","6,857.00","6,886.30","6,836.10","6,873.30","6,873.30","850,778,500"
"Jan 07, 2021","6,841.90","6,903.60","6,795.10","6,857.00","6,857.00","939,652,600"
"Jan 06, 2021","6,612.30","6,859.10","6,611.90","6,841.90","6,841.90","1,249,709,500"
"Jan 05, 2021","6,571.90","6,622.80","6,544.30","6,612.30","6,612.30","718,950,800"
"Jan 04, 2021","6,460.50","6,662.70","6,460.50","6,571.90","6,571.90","965,097,800"
